కమిషన సభయులు@	కమిషన్ సభ్యులు
కమషన్ సభ్య ల ు	కమిషన్ సభ్యులు
కమషన్ సభ్యలు	కమిషన్ సభ్యులు
ఉమ్మడ ి ఆంధ్రప్రదేశ్ మహ ిళా కమిషన్ గడ ు వు 2018 జ ూలైల ో ము గిసింద ి	ఉమ్మడి ఆంధ్రప్రదేశ్ మహిళా కమిషన్ గడువు 2018 జూలైలో ముగిసింది
ఉమ్ మడి ఆంధ్రప్రద ేశమహిళా కమిషన్ గడ ువు 2018 జూలైల ో ముగిసింది	ఉమ్మడి ఆంధ్రప్రదేశ్ మహిళా కమిషన్ గడువు 2018 జూలైలో ముగిసింది
ఉమ్మడి #ఆంధ్రప్రదేశ్ మహిళా కమిషన్ గడువు 2018 జ#ూలైలో ముగిసింది	ఉమ్మడి ఆంధ్రప్రదేశ్ మహిళా కమిషన్ గడువు 2018 జూలైలో ముగిసింది
ప్ర క ట న జార ీచ ేసి ంది	ప్రకటన జారీచేసింది
ప్రకటనజారీచేస ింది	ప్రకటన జారీచేసింది
ప్రకటన జరీచసంది	ప్రకటన జారీచేసింది
జనవ రి 8న క మిషన్ సభ్యులు బాధ్యతలు స ్వ ీకర ించా రు	జనవరి 8న కమిషన్ సభ్యులు బాధ్యతలు స్వీకరించారు
జనవరి 8న కమ ిషన్ సభ్యు లు భా ధ్యతలు స్వీకర ించార ు	జనవరి 8న కమిషన్ సభ్యులు బాధ్యతలు స్వీకరించారు
ఈ కమిషన్ ఐదేళ@్ళపాటు కొనసాగుతుంది@	ఈ కమిషన్ ఐదేళ్ళపాటు కొనసాగుతుంది
ఈ కమషన్ ఐదళ్ళపట కొనసాగుతు ంద	ఈ కమిషన్ ఐదేళ్ళపాటు కొనసాగుతుంది
ఈ కమిషన్ ఐదేళ్ళపటకొనసగుతుంది	ఈ కమిషన్ ఐదేళ్ళపాటు కొనసాగుతుంది
చర్‌పర్సన్‌:వాకిటి సునీటలక్ష్మారద్డ	చైర్‌పర్సన్‌: వాకిటి సునీతా లక్ష్మారెడ్డి
చర్‌పర ్ సన్‌: వక ిటి సున ీత ా ల క్ష ్ మ రె డ ్డి	చైర్‌పర్సన్‌: వాకిటి సునీతా లక్ష్మారెడ్డి
చర్‌పర్సన్‌: వకిట సునత లక్ష్మారడ్డ	చైర్‌పర్సన్‌: వాకిటి సునీతా లక్ష్మారెడ్డి
వధులు	విధులు
వధలు	విధులు
విధలు	విధులు
మహి#ళల జీవితాలను మ ెర ుగు పరచదం, మహ ిళ ా హక్కులను పరి రక్షి ంచడం	మహిళల జీవితాలను మెరుగుపరచడం, మహిళా హక్కులను పరిరక్షించడం
మహిళల జ ీ వ ితాలన ు మెరు గుపర చడం , మహిళా హ క్కుల ను ప రిరక్షించడం	మహిళల జీవితాలను మెరుగుపరచడం, మహిళా హక్కులను పరిరక్షించడం
మహిళల జీవితా లను మె రు గుప ర చ డం, మ హిళా హక ్ కులను పరిరక్ షించదం	మహిళల జీవితాలను మెరుగుపరచడం, మహిళా హక్కులను పరిరక్షించడం
మహిళలపటల వివక్షను తొలగించడం	మహిళల పట్ల వివక్షను తొలగించడం
మహిళల పటల వివక్ షను తొలగించడం	మహిళల పట్ల వివక్షను తొలగించడం
మహిళల పట్ ల వవ క ్షన ు తొ లగి ం చడం	మహిళల పట్ల వివక్షను తొలగించడం
ప్రభుత్వం అభివృదధి కార్యక్రమాలలో మహిళల భాగస్వామ్యాన@ని పరోత్సహించడం	ప్రభుత్వం అభివృద్ధి కార్యక్రమాలలో మహిళల భాగస్వామ్యాన్ని ప్రోత్సహించడం
ప్రభుత్వం అభి వృద్ధి కార్యక్రమా లలో మహిళల భాగస్వామ్యాన్న ి ప్రోత్సహించడం	ప్రభుత్వం అభివృద్ధి కార్యక్రమాలలో మహిళల భాగస్వామ్యాన్ని ప్రోత్సహించడం
నతన భవనం	నూతన భవనం
నూత నభవనం	నూతన భవనం
నూతనభ#వన#ం	నూతన భవనం
పరిషకరించిన కేసుల వివరాలు	పరిష్కరించిన కేసుల వివరాలు
పరిషకర ించిన కేస ల వివరాలు	పరిష్కరించిన కేసుల వివరాలు
పరిష ్కరంచ ిన కసుల @ వివ#రల ు	పరిష్కరించిన కేసుల వివరాలు
కేసులు పరిషకార దశలో ఉ#న్నాయి	కేసులు పరిష్కార దశలో ఉన్నాయి
కేసులు పరిషక ార దశలో ఉననాయి	కేసులు పరిష్కార దశలో ఉన్నాయి
ఇడ 275 పాడల్ పే త్ర స్థలమలల ో ఒకట	ఇది 275 పాడల్ పేత్ర స్థలములలో ఒకటి
ఇడ ి 275 పడల్ పేత్ ర స్థలమలలో ఒకట	ఇది 275 పాడల్ పేత్ర స్థలములలో ఒకటి
ఈ దేవాలయం 12 వ శతాబ్దంలో ప ాండయ రాజ్యంల వసతరింపబడింద	ఈ దేవాలయం 12 వ శతాబ్దంలో పాండ్య రాజ్యంలో విస్తరింపబడింది
ఈ దేవాలయం 12 వ శటాబ్ దంలో పాం@డ్య రాజ్యంలో విస్ టరింపబడింది	ఈ దేవాలయం 12 వ శతాబ్దంలో పాండ్య రాజ్యంలో విస్తరింపబడింది
ఈ డేవాలయం మిగిలిన భారటదేశంలోని హిందూ దేవాలయాల కంటే అతిపెద్ద వరండా కలిగియుంది	ఈ దేవాలయం మిగిలిన భారతదేశంలోని హిందూ దేవాలయాల కంటే అతిపెద్ద వరండా కలిగియుంది
ఈ దేవాలయం మి గిల ిన భారతదేశంల ోన ి హి ందూ దేవాలయాల కంటే అట ిప ెద్ద వరండ ా కల ిగియుంది	ఈ దేవాలయం మిగిలిన భారతదేశంలోని హిందూ దేవాలయాల కంటే అతిపెద్ద వరండా కలిగియుంది
ఈ దవల యం మి గ లిన భరతద ే శ ంలోన హ ంద ద వలయల కంట అతి పద్ద వరండ క లగియంది	ఈ దేవాలయం మిగిలిన భారతదేశంలోని హిందూ దేవాలయాల కంటే అతిపెద్ద వరండా కలిగియుంది
ఈ #దే వాలయం ర ామ ేశ్వరం అనే ద్వీ ప పట్టణంలో ఉంద ి	ఈ దేవాలయం రామేశ్వరం అనే ద్వీప పట్టణంలో ఉంది
ఈ దేవాలయం రామేశవరం అనే డ్వీప పటటణంలో ఉంది	ఈ దేవాలయం రామేశ్వరం అనే ద్వీప పట్టణంలో ఉంది
ఈ ద ేవాలయం ర ామేశ్వరం అనే ద్వీప పట్టణంలో ఉంది	ఈ దేవాలయం రామేశ్వరం అనే ద్వీప పట్టణంలో ఉంది
ఇది శైవుల కు, వ ైషణ వులకు, స్మ ా రథులకు పరస ిద్ధ క్షేత్ర ంగా భా సి ల్లినది	ఇది శైవులకు, వైష్ణవులకు, స్మార్థులకు ప్రసిద్ధ క్షేత్రంగా భాసిల్లినది
ఇది శ ైవ ు లక ు, వైష్ణవ ులక ు, స్ మార్థ ు లకు ప్రసి ద ్ధ క్షేత్రంగా భాస ిల్ల ిన ది	ఇది శైవులకు, వైష్ణవులకు, స్మార్థులకు ప్రసిద్ధ క్షేత్రంగా భాసిల్లినది
ఈ దేవాలయం 12 జయోతిర్లింగాలలో ఒకటి	ఈ దేవాలయం 12 జ్యోతిర్లింగాలలో ఒకటి
ఈ@ దేవాలయం 12జ్యోతిర్లింగా#లల ో ఒకటి	ఈ దేవాలయం 12 జ్యోతిర్లింగాలలో ఒకటి
ఈ దేవలయం 12 జ్యతిర్లింగలలో ఒకట	ఈ దేవాలయం 12 జ్యోతిర్లింగాలలో ఒకటి
ఈ దేవా లయంలో శ ివుడు "జ్యోతిర్లింగం"గా క ొలు వబడుత ున్నాడు	ఈ దేవాలయంలో శివుడు "జ్యోతిర్లింగం"గా కొలువబడుతున్నాడు
ఈ డేవాలయంల శివ డ "జ్యోతర్లింగం"గా కలువబడుటన్నాడు	ఈ దేవాలయంలో శివుడు "జ్యోతిర్లింగం"గా కొలువబడుతున్నాడు
ఈ దేవాలయంలో శివుదు "జ్యోతిర్లింగం"గా కొలువభడుతుననాదు	ఈ దేవాలయంలో శివుడు "జ్యోతిర్లింగం"గా కొలువబడుతున్నాడు
